year,activity,minutes
2003,Watching TV/movies,160
2003,Listening to radio,1
2003,Listening to music,1
2003,Using computer,7
2003,Using phone (family),2
2003,Using phone (friends),2
2004,Watching TV/movies,164
2004,Listening to radio,1
2004,Listening to music,2
2004,Using computer,9
2004,Using phone (family),2
2004,Using phone (friends),2
2005,Watching TV/movies,157
2005,Listening to radio,1
2005,Listening to music,1
2005,Using computer,8
2005,Using phone (family),2
2005,Using phone (friends),2
2006,Watching TV/movies,161
2006,Listening to radio,1
2006,Listening to music,2
2006,Using computer,8
2006,Using phone (family),2
2006,Using phone (friends),2
2007,Watching TV/movies,163
2007,Listening to radio,1
2007,Listening to music,1
2007,Using computer,7
2007,Using phone (family),2
2007,Using phone (friends),2
2008,Watching TV/movies,174
2008,Listening to radio,1
2008,Listening to music,1
2008,Using computer,7
2008,Using phone (family),2
2008,Using phone (friends),2
2009,Watching TV/movies,175
2009,Listening to radio,1
2009,Listening to music,1
2009,Using computer,9
2009,Using phone (family),3
2009,Using phone (friends),2
2010,Watching TV/movies,172
2010,Listening to radio,1
2010,Listening to music,2
2010,Using computer,10
2010,Using phone (family),2
2010,Using phone (friends),2
2011,Watching TV/movies,175
2011,Listening to radio,1
2011,Listening to music,1
2011,Using computer,12
2011,Using phone (family),2
2011,Using phone (friends),2
2012,Watching TV/movies,180
2012,Listening to radio,1
2012,Listening to music,1
2012,Using computer,11
2012,Using phone (family),2
2012,Using phone (friends),2
2013,Watching TV/movies,178
2013,Listening to radio,1
2013,Listening to music,1
2013,Using computer,11
2013,Using phone (family),2
2013,Using phone (friends),1
2014,Watching TV/movies,179
2014,Listening to radio,1
2014,Listening to music,1
2014,Using computer,12
2014,Using phone (family),2
2014,Using phone (friends),2
2015,Watching TV/movies,178
2015,Listening to radio,1
2015,Listening to music,1
2015,Using computer,10
2015,Using phone (family),2
2015,Using phone (friends),2
2016,Watching TV/movies,179
2016,Listening to radio,1
2016,Listening to music,2
2016,Using computer,9
2016,Using phone (family),2
2016,Using phone (friends),2
2017,Watching TV/movies,181
2017,Listening to radio,1
2017,Listening to music,2
2017,Using computer,10
2017,Using phone (family),2
2017,Using phone (friends),1
2018,Watching TV/movies,187
2018,Listening to radio,1
2018,Listening to music,2
2018,Using computer,9
2018,Using phone (family),2
2018,Using phone (friends),1
2019,Watching TV/movies,189
2019,Listening to radio,1
2019,Listening to music,2
2019,Using computer,9
2019,Using phone (family),3
2019,Using phone (friends),2
2020,Watching TV/movies,197
2020,Listening to radio,1
2020,Listening to music,2
2020,Using computer,12
2020,Using phone (family),4
2020,Using phone (friends),3
2021,Watching TV/movies,194
2021,Listening to radio,1
2021,Listening to music,2
2021,Using computer,11
2021,Using phone (family),4
2021,Using phone (friends),3
